OBJECTID,Location,median,median_white,median_white_only,median_hispanic,median_black_only,median_asian,median_native,median_native_islander,median_other,median_two_or_more,GEOIDFQ
2576,"Kleberg County, Texas",57612,64127,75446,51283,0,0,132672,0,52474,41328,0500000US48273
2577,"Porter County, Indiana",85828,86496,87195,79282,85740,129764,0,0,71458,71306,0500000US18127
2578,"Antrim County, Michigan",71421,71844,71933,46985,0,135000,38500,0,73125,53333,0500000US26009
2579,"Marlboro County, South Carolina",36293,43621,43652,21480,33778,0,19853,0,40982,29821,0500000US45069
2580,"Benewah County, Idaho",56553,57173,57656,44583,0,0,50357,0,70385,56193,0500000US16009
2581,"Lee County, Illinois",68459,67773,68286,65804,0,0,23438,0,67727,83125,0500000US17103
2582,"Nemaha County, Nebraska",60132,60313,60179,18659,0,0,0,0,18705,75528,0500000US31127
2583,"Carteret County, North Carolina",70235,72102,72238,54840,51694,65500,44856,0,66705,54721,0500000US37031
2584,"Pottawatomie County, Kansas",87694,88191,88381,59318,94464,90078,70385,0,0,76465,0500000US20149
2585,"Jackson County, Michigan",65004,67836,68341,52105,30557,90340,39792,0,77969,57645,0500000US26075
2586,"Comal County, Texas",99015,100898,101957,79289,101331,132563,0,0,62035,87566,0500000US48091
2587,"Nantucket County, Massachusetts",119750,147250,149009,108738,250000,177813,0,0,0,108762,0500000US25019
2588,"Bamberg County, South Carolina",43206,49167,49167,0,37629,0,0,0,0,43182,0500000US45009
2589,"Aransas County, Texas",61754,64938,66934,40845,0,60833,0,0,0,42332,0500000US48007
2590,"Berrien County, Georgia",50414,51421,51464,90170,37938,0,0,0,0,56563,0500000US13019
2591,"Vermillion County, Indiana",59363,59487,59454,73438,0,0,51591,0,0,51198,0500000US18165
2592,"Bedford County, Virginia",77644,78157,77957,84583,66890,101707,51477,0,70429,67450,0500000US51019
2593,"Mora County, New Mexico",50178,59375,73133,40481,0,0,68682,0,22321,51610,0500000US35033
2594,"Boone County, Nebraska",71367,72207,72012,67604,0,0,0,0,40938,37500,0500000US31011
2595,"Oregon County, Missouri",44259,46707,46779,0,0,0,18295,0,0,29769,0500000US29149
2596,"Houston County, Tennessee",54475,54626,54395,76078,57625,0,35833,0,0,0,0500000US47083
2597,"Wyoming County, Pennsylvania",70268,70216,70347,42045,0,151250,42000,0,61458,74792,0500000US42131
2598,"Lenoir County, North Carolina",44795,58789,61345,40568,36226,0,0,0,74464,37723,0500000US37107
2599,"Lemhi County, Idaho",52057,51994,52017,46324,0,0,0,0,0,0,0500000US16059
2600,"Ohio County, Kentucky",54369,54505,54516,0,103250,0,0,0,0,38750,0500000US21183
2601,"Sarpy County, Nebraska",101402,104628,106022,78017,80020,94038,76964,119766,85694,87532,0500000US31153
2602,"Colquitt County, Georgia",49691,63010,62913,44289,34183,0,70764,0,42864,47611,0500000US13071
2603,"Stanley County, South Dakota",77000,83750,81250,0,0,0,64643,0,0,81250,0500000US46117
2604,"Washoe County, Nevada",85600,90684,91188,73834,54286,90103,70959,78214,69940,80687,0500000US32031
2605,"Hawkins County, Tennessee",55278,55909,55860,33750,38111,66316,0,0,88646,18017,0500000US47073
2606,"Bowman County, North Dakota",83773,83287,83480,0,0,0,0,0,0,89688,0500000US38011
2607,"Fulton County, Pennsylvania",64798,64418,64427,92938,66528,118542,0,0,93875,46964,0500000US42057
2608,"Lafayette Parish, Louisiana",67660,81032,81461,56804,41097,103054,54022,0,71386,58257,0500000US22055
2609,"Jack County, Texas",65693,67969,70994,0,0,0,0,0,0,0,0500000US48237
2610,"Stark County, Illinois",62284,63663,63343,67083,88889,0,0,0,74167,29875,0500000US17175
2611,"Greer County, Oklahoma",60183,61786,59924,71118,0,0,70500,0,0,60673,0500000US40055
2612,"Hemphill County, Texas",72052,74306,81250,51950,0,0,0,0,60900,103493,0500000US48211
2613,"Nez Perce County, Idaho",71466,72505,72157,99512,0,60382,62955,64028,53403,0,0500000US16069
2614,"Walworth County, South Dakota",62722,62537,62778,0,0,0,0,0,0,81385,0500000US46129
2615,"Napa County, California",108970,113476,117494,89202,197756,138056,122656,142750,77826,108514,0500000US06055
2616,"Cotton County, Oklahoma",60313,65737,65737,0,0,0,0,0,0,53571,0500000US40033
2617,"Washington County, Missouri",51886,52789,52496,0,0,0,0,0,0,28517,0500000US29221
2618,"Cayuga County, New York",66583,67667,67645,44219,50219,136389,78125,0,0,61420,0500000US36011
2619,"Shackelford County, Texas",64659,70795,72500,68859,0,0,0,0,0,40139,0500000US48417
2620,"San Jacinto County, Texas",59526,61849,62182,47135,48036,0,0,0,90128,47137,0500000US48407
2621,"Liberty County, Georgia",59013,67260,68648,57062,56758,51875,48485,-2500,59265,47478,0500000US13179
2622,"Navarro County, Texas",59310,66633,68763,48730,29965,250000,0,0,43735,62404,0500000US48349
2623,"Brooks County, Texas",31310,30882,61442,29503,0,0,0,0,25278,40006,0500000US48047
2624,"Williamson County, Tennessee",131202,133177,133557,86279,79150,168828,97361,0,88811,105458,0500000US47187
2625,"Laramie County, Wyoming",77884,78786,80132,65319,68220,0,45444,64722,88401,75855,0500000US56021
2626,"Asotin County, Washington",69107,69567,69659,44940,8571,0,0,0,44167,88036,0500000US53003
2627,"Traverse County, Minnesota",65931,67353,68558,55486,0,0,47330,0,56181,50625,0500000US27155
2628,"Cass County, Illinois",64907,62417,60944,71763,78550,73426,39167,0,70342,78750,0500000US17017
2629,"Rockdale County, Georgia",72349,71151,72352,58203,73605,73232,168043,0,47148,83196,0500000US13247
2630,"Juniata County, Pennsylvania",63923,64878,65120,48066,0,0,0,0,41161,47773,0500000US42067
2631,"McKean County, Pennsylvania",61705,61130,61010,125526,55500,0,68750,0,250000,73778,0500000US42083
2632,"Garvin County, Oklahoma",57127,58008,58323,50000,52500,0,50074,0,83750,46908,0500000US40049
2633,"Burt County, Nebraska",57303,60318,60136,41154,0,0,29000,0,0,41208,0500000US31021
2634,"San Juan County, New Mexico",53020,62845,64194,46205,29297,57865,40558,0,41260,67628,0500000US35045
2635,"Orleans County, New York",63838,62422,63014,62052,0,148482,0,0,157938,72763,0500000US36073
